year,month,fakex,fakey,city,state
2004,2,143,0,Baton Rouge,LA
2004,3,144,0,Baton Rouge,LA
2004,4,145,0,Baton Rouge,LA
2004,5,146,0,Baton Rouge,LA
2004,6,147,0,Baton Rouge,LA
2004,7,148,0,Baton Rouge,LA
2004,8,149,0,Baton Rouge,LA
2004,9,150,0,Baton Rouge,LA
2004,10,151,0,Baton Rouge,LA
2004,11,152,0,Baton Rouge,LA
2004,12,153,0,Baton Rouge,LA
2005,1,154,0,Baton Rouge,LA
2005,2,155,0,Baton Rouge,LA
2005,3,156,0,Baton Rouge,LA
2005,4,157,0,Baton Rouge,LA
2005,5,158,0,Baton Rouge,LA
2005,6,159,0,Baton Rouge,LA
2005,7,160,0,Baton Rouge,LA
2005,8,161,0,Baton Rouge,LA
2005,9,162,0,Baton Rouge,LA
2005,10,163,0,Baton Rouge,LA
2005,11,164,0,Baton Rouge,LA
2005,12,165,0,Baton Rouge,LA
2006,1,166,0,Baton Rouge,LA
2006,2,167,0,Baton Rouge,LA
2006,3,168,0,Baton Rouge,LA
2006,4,169,0,Baton Rouge,LA
2006,5,170,0,Baton Rouge,LA
2006,6,171,0,Baton Rouge,LA
2006,7,172,0,Baton Rouge,LA
2006,8,173,0,Baton Rouge,LA
2006,9,174,0,Baton Rouge,LA
2006,10,175,0,Baton Rouge,LA
2006,11,176,0,Baton Rouge,LA
2006,12,177,0,Baton Rouge,LA
2007,1,178,0,Baton Rouge,LA
2007,2,179,0,Baton Rouge,LA
2007,3,180,0,Baton Rouge,LA
2007,4,181,0,Baton Rouge,LA
2007,5,182,0,Baton Rouge,LA
2007,6,183,0,Baton Rouge,LA
2007,7,184,0,Baton Rouge,LA
2007,8,185,0,Baton Rouge,LA
2007,9,186,0,Baton Rouge,LA
2007,10,187,0,Baton Rouge,LA
2007,11,188,0,Baton Rouge,LA
2007,12,189,0,Baton Rouge,LA
2008,1,190,0,Baton Rouge,LA
2008,2,191,0,Baton Rouge,LA
2008,3,192,0,Baton Rouge,LA
2008,4,193,0,Baton Rouge,LA
2008,5,194,0,Baton Rouge,LA
2008,6,195,0,Baton Rouge,LA
2008,7,196,0,Baton Rouge,LA
2008,8,197,0,Baton Rouge,LA
2008,9,198,0,Baton Rouge,LA
2008,10,199,0,Baton Rouge,LA
2008,11,200,0,Baton Rouge,LA
